solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	solute_a_nC	solute_a_nN	solute_a_nO	solute_b_heavy	solute_b_rotN	solute_lip_acc	solute_lip_don	solute_rings	solute_TPSA	solvent_a_nC	solvent_a_nN	solvent_a_nO	solvent_b_heavy	solvent_b_rotN	solvent_lip_acc	solvent_lip_don	solvent_rings	solvent_TPSA
19	175	2-Propanol	Benzoic acid	O=C(O)c1ccccc1	OC(C)C	17.5	122.4	48.81868	1.688586	107.12245	2.0298805	7	0	2	9	1	2	1	1	37.299999	3	0	1	3	0	1	1	0	20.23
37	175	Cyclohexane	Benzoic acid	O=C(O)c1ccccc1	C1CCCCC1	17.5	122.4	1.4953446	0.17474128	0.39093736	-0.40789282	7	0	2	9	1	2	1	1	37.299999	6	0	0	6	0	0	0	1	0.0
55	175	Ethanol	Benzoic acid	O=C(O)c1ccccc1	OCC	17.5	122.4	57.756695	1.7616024	127.82129	2.1066031	7	0	2	9	1	2	1	1	37.299999	2	0	1	2	0	1	1	0	20.23
66	175	Heptane	Benzoic acid	O=C(O)c1ccccc1	C(CCC)CCC	17.5	122.4	1.4428211	0.1592125	0.32721922	-0.48516119	7	0	2	9	1	2	1	1	37.299999	7	0	0	6	4	0	0	0	0.0
67	175	Hexane	Benzoic acid	O=C(O)c1ccccc1	C(CCC)CC	17.5	122.4	1.3591819	0.13327758	0.39011094	-0.40881187	7	0	2	9	1	2	1	1	37.299999	6	0	0	5	3	0	0	0	0.0
3	175	1,2-Dichloroethane	Benzoic acid	O=C(O)c1ccccc1	ClCCCl	17.5	122.4	9.2173052	0.96460396	9.787674	0.9906795	7	0	2	9	1	2	1	1	37.299999	2	0	0	3	1	0	0	0	0.0
9	175	1-Butanol	Benzoic acid	O=C(O)c1ccccc1	OCCCC	17.5	122.4	41.964737	1.6228845	77.04763	1.8867593	7	0	2	9	1	2	1	1	37.299999	4	0	1	4	2	1	1	0	20.23
12	175	2-Butanol	Benzoic acid	O=C(O)c1ccccc1	OC(CC)C	17.5	122.4	39.908401	1.6010643	96.523277	1.984632	7	0	2	9	1	2	1	1	37.299999	4	0	1	4	1	1	1	0	20.23
24	175	Acetonitrile	Benzoic acid	O=C(O)c1ccccc1	N#CC	17.5	122.4	16.947662	1.2291098	68.531067	1.8358876	7	0	2	9	1	2	1	1	37.299999	2	1	0	2	0	1	0	0	23.790001
26	175	Benzene	Benzoic acid	O=C(O)c1ccccc1	c1ccccc1	17.5	122.4	11.569047	1.0632976	6.7918963	0.83199102	7	0	2	9	1	2	1	1	37.299999	6	0	0	6	0	0	0	1	0.0
29	175	Butyl Acetate	Benzoic acid	O=C(O)c1ccccc1	O=C(OCCCC)C	17.5	122.4	21.518124	1.3328044	58.559586	1.767598	7	0	2	9	1	2	1	1	37.299999	6	0	2	7	4	2	0	0	26.299999
31	175	Carbon Tetrachloride	Benzoic acid	O=C(O)c1ccccc1	ClC(Cl)(Cl)Cl	17.5	122.4	4.1257248	0.61550027	0.56475049	-0.24814336	7	0	2	9	1	2	1	1	37.299999	1	0	0	4	0	0	0	0	0.0
33	175	Chlorobenzene	Benzoic acid	O=C(O)c1ccccc1	Clc1ccccc1	17.5	122.4	10.23471	1.0100756	2.66155	0.42513463	7	0	2	9	1	2	1	1	37.299999	6	0	0	7	0	0	0	1	0.0
34	175	Chloroform	Benzoic acid	O=C(O)c1ccccc1	ClC(Cl)Cl	17.5	122.4	15.056644	1.1777282	9.8330317	0.99268746	7	0	2	9	1	2	1	1	37.299999	1	0	0	3	0	0	0	0	0.0
46	175	Diethylether	Benzoic acid	O=C(O)c1ccccc1	O(CC)CC	17.5	122.4	37.077133	1.5691061	119.27087	2.0765343	7	0	2	9	1	2	1	1	37.299999	4	0	1	4	2	1	0	0	9.2299995
62	175	Ethylene Glycol	Benzoic acid	O=C(O)c1ccccc1	OCCO	17.5	122.4	19.07976	1.2805729	49.860741	1.6977587	7	0	2	9	1	2	1	1	37.299999	2	0	2	3	1	2	2	0	40.459999
64	175	Formamide	Benzoic acid	O=C(O)c1ccccc1	O=CN	17.5	122.4	48.788486	1.6883173	76.986588	1.8864151	7	0	2	9	1	2	1	1	37.299999	1	1	1	2	0	2	2	0	43.09
72	175	Methanol	Benzoic acid	O=C(O)c1ccccc1	OC	17.5	122.4	74.331406	1.8711723	157.15767	2.1963356	7	0	2	9	1	2	1	1	37.299999	1	0	1	1	0	1	1	0	20.23
90	175	Propionic Acid	Benzoic acid	O=C(O)c1ccccc1	O=C(O)CC	17.5	122.4	38.343307	1.5836896	34.726479	1.5406607	7	0	2	9	1	2	1	1	37.299999	3	0	2	4	1	2	1	0	37.299999
110	175	1-Pentanol	Benzoic acid	O=C(O)c1ccccc1	OCCCCC	17.5	122.4	40.45253	1.6069456	62.41539	1.7952917	7	0	2	9	1	2	1	1	37.299999	5	0	1	5	3	1	1	0	20.23
