solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	solute_a_nC	solute_a_nN	solute_a_nO	solute_b_heavy	solute_b_rotN	solute_lip_acc	solute_lip_don	solute_rings	solute_TPSA	solvent_a_nC	solvent_a_nN	solvent_a_nO	solvent_b_heavy	solvent_b_rotN	solvent_lip_acc	solvent_lip_don	solvent_rings	solvent_TPSA
19	241	2-Propanol	acetanilide	O=C(Nc1ccccc1)C	OC(C)C	21.65	114.3	19.57	1.2915908	17.762962	1.2495154	8	1	1	10	2	2	1	1	29.1	3	0	1	3	0	1	1	0	20.23
37	241	Cyclohexane	acetanilide	O=C(Nc1ccccc1)C	C1CCCCC1	21.65	114.3	0.0339	-1.4701425	0.069899999	-1.1553062	8	1	1	10	2	2	1	1	29.1	6	0	0	6	0	0	0	1	0.0
55	241	Ethanol	acetanilide	O=C(Nc1ccccc1)C	OCC	21.65	114.3	33.219501	1.5213931	29.13209	1.4643717	8	1	1	10	2	2	1	1	29.1	2	0	1	2	0	1	1	0	20.23
66	241	Heptane	acetanilide	O=C(Nc1ccccc1)C	C(CCC)CCC	21.65	114.3	0.059999999	-1.2218487	0.0568	-1.2456805	8	1	1	10	2	2	1	1	29.1	7	0	0	6	4	0	0	0	0.0
67	241	Hexane	acetanilide	O=C(Nc1ccccc1)C	C(CCC)CC	21.65	114.3	0.00202	-2.6939311	0.066600002	-1.1766608	8	1	1	10	2	2	1	1	29.1	6	0	0	5	3	0	0	0	0.0
109	241	Water	acetanilide	O=C(Nc1ccccc1)C	O	21.65	114.3	0.33129999	-0.47977856	0.31500518	-0.50168234	8	1	1	10	2	2	1	1	29.1	0	0	1	0	0	1	2	0	0.0
24	241	Acetonitrile	acetanilide	O=C(Nc1ccccc1)C	N#CC	21.65	114.3	21.434999	1.3311235	17.877279	1.2523015	8	1	1	10	2	2	1	1	29.1	2	1	0	2	0	1	0	0	23.790001
34	241	Chloroform	acetanilide	O=C(Nc1ccccc1)C	ClC(Cl)Cl	21.65	114.3	16.8501	1.2266024	13.707608	1.1369617	8	1	1	10	2	2	1	1	29.1	1	0	0	3	0	0	0	0	0.0
127	241	1-Octanol	acetanilide	O=C(Nc1ccccc1)C	OCCCCCCCC	21.65	114.3	17.886385	1.2525226	7.4824672	0.87404484	8	1	1	10	2	2	1	1	29.1	8	0	1	8	6	1	1	0	20.23
25	241	Anisole	acetanilide	O=C(Nc1ccccc1)C	O(C)c1ccccc1	21.65	114.3	3.0	0.47712126	2.5177908	0.40101963	8	1	1	10	2	2	1	1	29.1	7	0	1	8	1	1	0	1	9.2299995
68	241	3-Methyl-1-Butanol	acetanilide	O=C(Nc1ccccc1)C	OCCC(C)C	21.65	114.3	16.5567	1.2189738	15.802832	1.1987349	8	1	1	10	2	2	1	1	29.1	5	0	1	5	2	1	1	0	20.23
70	241	Isopropyl Acetate	acetanilide	O=C(Nc1ccccc1)C	O=C(OC(C)C)C	21.65	114.3	8.9549999	0.95206559	12.937024	1.1118344	8	1	1	10	2	2	1	1	29.1	5	0	2	6	2	2	0	0	26.299999
78	241	Methyl Isobutyl Ketone	acetanilide	O=C(Nc1ccccc1)C	O=C(CC(C)C)C	21.65	114.3	13.1	1.1172713	13.088198	1.1168798	8	1	1	10	2	2	1	1	29.1	6	0	1	6	2	1	0	0	17.07
102	241	Toluene	acetanilide	O=C(Nc1ccccc1)C	Cc1ccccc1	21.65	114.3	0.84500003	-0.073143288	1.9060394	0.28013188	8	1	1	10	2	2	1	1	29.1	7	0	0	7	0	0	0	1	0.0
147	241	Dodecane	acetanilide	O=C(Nc1ccccc1)C	C(CCCCCC)CCCCC	21.65	114.3	0.19	-0.72124642	0.034200002	-1.4664609	8	1	1	10	2	2	1	1	29.1	12	0	0	11	9	0	0	0	0.0
100	241	2-Methoxy-2-Methylpropane	acetanilide	O=C(Nc1ccccc1)C	O(C(C)(C)C)C	21.65	114.3	3.0250001	0.48072538	2.5429757	0.40534219	8	1	1	10	2	2	1	1	29.1	5	0	1	5	1	1	0	0	9.2299995
