solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	solute_a_nC	solute_a_nN	solute_a_nO	solute_b_heavy	solute_b_rotN	solute_lip_acc	solute_lip_don	solute_rings	solute_TPSA	solvent_a_nC	solvent_a_nN	solvent_a_nO	solvent_b_heavy	solvent_b_rotN	solvent_lip_acc	solvent_lip_don	solvent_rings	solvent_TPSA
5	252	1,2-Propanediol	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	OC(CO)C	40.400002	179.39999	1.9212742	0.28358933	2.9546671	0.47050858	14	1	2	20	4	3	2	2	49.330002	3	0	2	4	1	2	2	0	40.459999
23	252	Acetone	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	O=C(C)C	40.400002	179.39999	15.877268	1.2007757	59.386532	1.773688	14	1	2	20	4	3	2	2	49.330002	3	0	1	3	0	1	0	0	17.07
37	252	Cyclohexane	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	C1CCCCC1	40.400002	179.39999	0.021600001	-1.6646916	0.021500001	-1.667246	14	1	2	20	4	3	2	2	49.330002	6	0	0	6	0	0	0	1	0.0
55	252	Ethanol	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	OCC	40.400002	179.39999	5.6613955	0.75292349	11.27705	1.0521955	14	1	2	20	4	3	2	2	49.330002	2	0	1	2	0	1	1	0	20.23
57	252	Ethyl Acetate	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	O=C(OCC)C	40.400002	179.39999	7.8747392	0.89623618	36.163197	1.5582668	14	1	2	20	4	3	2	2	49.330002	4	0	2	5	2	2	0	0	26.299999
66	252	Heptane	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	C(CCC)CCC	40.400002	179.39999	0.0177	-1.7519137	0.016100001	-1.7932931	14	1	2	20	4	3	2	2	49.330002	7	0	0	6	4	0	0	0	0.0
3	252	1,2-Dichloroethane	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	ClCCCl	40.400002	179.39999	1.2109119	0.08311253	0.37990582	-0.42032406	14	1	2	20	4	3	2	2	49.330002	2	0	0	3	1	0	0	0	0.0
8	252	1,4-Dioxane	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	O1CCOCC1	40.400002	179.39999	39.646271	1.5982023	34.699265	1.5403203	14	1	2	20	4	3	2	2	49.330002	4	0	2	6	0	2	0	1	18.459999
26	252	Benzene	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	c1ccccc1	40.400002	179.39999	1.0341718	0.014592695	0.46793038	-0.32981876	14	1	2	20	4	3	2	2	49.330002	6	0	0	6	0	0	0	1	0.0
33	252	Chlorobenzene	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	Clc1ccccc1	40.400002	179.39999	0.97166264	-0.012484491	0.15480126	-0.81022549	14	1	2	20	4	3	2	2	49.330002	6	0	0	7	0	0	0	1	0.0
34	252	Chloroform	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	ClC(Cl)Cl	40.400002	179.39999	2.351778	0.37139633	0.34841269	-0.45790604	14	1	2	20	4	3	2	2	49.330002	1	0	0	3	0	0	0	0	0.0
46	252	Diethylether	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	O(CC)CC	40.400002	179.39999	0.84317601	-0.074081756	36.736168	1.5650939	14	1	2	20	4	3	2	2	49.330002	4	0	1	4	2	1	0	0	9.2299995
62	252	Ethylene Glycol	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	OCCO	40.400002	179.39999	0.81098217	-0.090988696	0.59419483	-0.22607113	14	1	2	20	4	3	2	2	49.330002	2	0	2	3	1	2	2	0	40.459999
64	252	Formamide	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	O=CN	40.400002	179.39999	1.1586062	0.063935816	0.13800117	-0.8601172	14	1	2	20	4	3	2	2	49.330002	1	1	1	2	0	2	2	0	43.09
72	252	Methanol	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	OC	40.400002	179.39999	5.4568534	0.73694229	7.7460489	0.88908023	14	1	2	20	4	3	2	2	49.330002	1	0	1	1	0	1	1	0	20.23
90	252	Propionic Acid	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	O=C(O)CC	40.400002	179.39999	3.9620893	0.59792423	1.0648792	0.027300345	14	1	2	20	4	3	2	2	49.330002	3	0	2	4	1	2	1	0	37.299999
110	252	1-Pentanol	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	OCCCCC	40.400002	179.39999	4.3796463	0.64143908	5.906991	0.7713663	14	1	2	20	4	3	2	2	49.330002	5	0	1	5	3	1	1	0	20.23
127	252	1-Octanol	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	OCCCCCCCC	40.400002	179.39999	3.4725819	0.54065251	3.4306681	0.53537869	14	1	2	20	4	3	2	2	49.330002	8	0	1	8	6	1	1	0	20.23
643	252	acetophenone	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	O=C(C)c1ccccc1	40.400002	179.39999	11.542899	1.0623149	17.634756	1.2463695	14	1	2	20	4	3	2	2	49.330002	8	0	1	9	1	1	0	1	17.07
58	252	Ethyl Formate	diclofenac	Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	O=COCC	40.400002	179.39999	1.6176186	0.20887612	21.304827	1.328478	14	1	2	20	4	3	2	2	49.330002	3	0	2	4	2	2	0	0	26.299999
