solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	solute_a_nC	solute_a_nN	solute_a_nO	solute_b_heavy	solute_b_rotN	solute_lip_acc	solute_lip_don	solute_rings	solute_TPSA	solvent_a_nC	solvent_a_nN	solvent_a_nO	solvent_b_heavy	solvent_b_rotN	solvent_lip_acc	solvent_lip_don	solvent_rings	solvent_TPSA
5	180	1,2-Propanediol	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	OC(CO)C	25.5	74.0	25.470921	1.4060446	228.24422	2.3583999	13	0	2	15	4	2	1	1	37.299999	3	0	2	4	1	2	2	0	40.459999
23	180	Acetone	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	O=C(C)C	25.5	74.0	191.96091	2.2832129	74.657799	1.8730752	13	0	2	15	4	2	1	1	37.299999	3	0	1	3	0	1	0	0	17.07
37	180	Cyclohexane	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	C1CCCCC1	25.5	74.0	43.9589	1.6430469	242.55891	2.3848171	13	0	2	15	4	2	1	1	37.299999	6	0	0	6	0	0	0	1	0.0
51	180	N,N-Dimethylformamide	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	O=CN(C)C	25.5	74.0	41.318306	1.6161425	64.400719	1.8088907	13	0	2	15	4	2	1	1	37.299999	3	1	1	4	1	2	0	0	20.309999
55	180	Ethanol	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	OCC	25.5	74.0	41.019222	1.6129874	119.66814	2.0779786	13	0	2	15	4	2	1	1	37.299999	2	0	1	2	0	1	1	0	20.23
57	180	Ethyl Acetate	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	O=C(OCC)C	25.5	74.0	117.84337	2.071305	36.567753	1.5630983	13	0	2	15	4	2	1	1	37.299999	4	0	2	5	2	2	0	0	26.299999
8	180	1,4-Dioxane	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	O1CCOCC1	25.5	74.0	9.0428572	0.95630568	42.324112	1.6265879	13	0	2	15	4	2	1	1	37.299999	4	0	2	6	0	2	0	1	18.459999
12	180	2-Butanol	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	OC(CC)C	25.5	74.0	71.323257	1.8532312	64.169563	1.8073291	13	0	2	15	4	2	1	1	37.299999	4	0	1	4	1	1	1	0	20.23
26	180	Benzene	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	c1ccccc1	25.5	74.0	24.444189	1.3881756	1940.4574	3.287904	13	0	2	15	4	2	1	1	37.299999	6	0	0	6	0	0	0	1	0.0
33	180	Chlorobenzene	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	Clc1ccccc1	25.5	74.0	3.7643828	0.57569379	181.53789	2.2589672	13	0	2	15	4	2	1	1	37.299999	6	0	0	7	0	0	0	1	0.0
34	180	Chloroform	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	ClC(Cl)Cl	25.5	74.0	58.772923	1.7691773	262.40744	2.4189761	13	0	2	15	4	2	1	1	37.299999	1	0	0	3	0	0	0	0	0.0
46	180	Diethylether	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	O(CC)CC	25.5	74.0	6.3260541	0.80113292	41.766537	1.6208284	13	0	2	15	4	2	1	1	37.299999	4	0	1	4	2	1	0	0	9.2299995
62	180	Ethylene Glycol	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	OCCO	25.5	74.0	6.4508185	0.80961484	329.04376	2.5172536	13	0	2	15	4	2	1	1	37.299999	2	0	2	3	1	2	2	0	40.459999
64	180	Formamide	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	O=CN	25.5	74.0	0.65691769	-0.18248904	452.96939	2.6560688	13	0	2	15	4	2	1	1	37.299999	1	1	1	2	0	2	2	0	43.09
72	180	Methanol	ibuprofen	O=C(O)C(C)c1ccc(CC(C)C)cc1	OC	25.5	74.0	16.291693	1.2119663	300.30008	2.4775555	13	0	2	15	4	2	1	1	37.299999	1	0	1	1	0	1	1	0	20.23
