solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	solute_a_nC	solute_a_nN	solute_a_nO	solute_b_heavy	solute_b_rotN	solute_lip_acc	solute_lip_don	solute_rings	solute_TPSA	solvent_a_nC	solvent_a_nN	solvent_a_nO	solvent_b_heavy	solvent_b_rotN	solvent_lip_acc	solvent_lip_don	solvent_rings	solvent_TPSA
10	1132	1-Propanol	maltol	O=C1C(O)=C(C)OC=C1	OCCC	21.23	160.2	2.5101099	0.39969274	11.580705	1.063735	6	0	3	9	0	3	1	1	46.529999	3	0	1	3	1	1	1	0	20.23
19	1132	2-Propanol	maltol	O=C1C(O)=C(C)OC=C1	OC(C)C	21.23	160.2	2.1925299	0.34094554	12.895865	1.1104505	6	0	3	9	0	3	1	1	46.529999	3	0	1	3	0	1	1	0	20.23
23	1132	Acetone	maltol	O=C1C(O)=C(C)OC=C1	O=C(C)C	21.23	160.2	2.95805	0.4710055	15.268444	1.1837947	6	0	3	9	0	3	1	1	46.529999	3	0	1	3	0	1	0	0	17.07
55	1132	Ethanol	maltol	O=C1C(O)=C(C)OC=C1	OCC	21.23	160.2	3.4651301	0.53971952	14.954531	1.1747727	6	0	3	9	0	3	1	1	46.529999	2	0	1	2	0	1	1	0	20.23
57	1132	Ethyl Acetate	maltol	O=C1C(O)=C(C)OC=C1	O=C(OCC)C	21.23	160.2	2.2254801	0.3474237	9.359724	0.97126305	6	0	3	9	0	3	1	1	46.529999	4	0	2	5	2	2	0	0	26.299999
3	1132	1,2-Dichloroethane	maltol	O=C1C(O)=C(C)OC=C1	ClCCCl	21.23	160.2	2.25666	0.35346612	15.323913	1.1853697	6	0	3	9	0	3	1	1	46.529999	2	0	0	3	1	0	0	0	0.0
9	1132	1-Butanol	maltol	O=C1C(O)=C(C)OC=C1	OCCCC	21.23	160.2	1.98285	0.29728985	8.4343443	0.92605132	6	0	3	9	0	3	1	1	46.529999	4	0	1	4	2	1	1	0	20.23
12	1132	2-Butanol	maltol	O=C1C(O)=C(C)OC=C1	OC(CC)C	21.23	160.2	1.9132299	0.28176719	8.8167524	0.94530863	6	0	3	9	0	3	1	1	46.529999	4	0	1	4	1	1	1	0	20.23
24	1132	Acetonitrile	maltol	O=C1C(O)=C(C)OC=C1	N#CC	21.23	160.2	3.3162799	0.52065122	19.147678	1.2821162	6	0	3	9	0	3	1	1	46.529999	2	1	0	2	0	1	0	0	23.790001
29	1132	Butyl Acetate	maltol	O=C1C(O)=C(C)OC=C1	O=C(OCCCC)C	21.23	160.2	1.40323	0.14712887	4.8481083	0.68557233	6	0	3	9	0	3	1	1	46.529999	6	0	2	7	4	2	0	0	26.299999
72	1132	Methanol	maltol	O=C1C(O)=C(C)OC=C1	OC	21.23	160.2	7.4184499	0.87031317	26.470934	1.4227693	6	0	3	9	0	3	1	1	46.529999	1	0	1	1	0	1	1	0	20.23
111	1132	2-Methyl-1-Propanol	maltol	O=C1C(O)=C(C)OC=C1	OCC(C)C	21.23	160.2	1.85235	0.26772305	9.6208611	0.9832139	6	0	3	9	0	3	1	1	46.529999	4	0	1	4	1	1	1	0	20.23
91	1132	Propyl Acetate	maltol	O=C1C(O)=C(C)OC=C1	O=C(OCCC)C	21.23	160.2	1.6238199	0.21053788	6.6217265	0.82097125	6	0	3	9	0	3	1	1	46.529999	5	0	2	6	3	2	0	0	26.299999
