solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	solute_a_nC	solute_a_nN	solute_a_nO	solute_b_heavy	solute_b_rotN	solute_lip_acc	solute_lip_don	solute_rings	solute_TPSA	solvent_a_nC	solvent_a_nN	solvent_a_nO	solvent_b_heavy	solvent_b_rotN	solvent_lip_acc	solvent_lip_don	solvent_rings	solvent_TPSA
5	267	1,2-Propanediol	naproxen	O=C(O)[C@@H](C)c1cc2c(cc(OC)cc2)cc1	OC(CO)C	31.75	155.8	2.3389475	0.36902046	6.5527272	0.8164221	14	0	3	18	3	3	1	2	46.529999	3	0	2	4	1	2	2	0	40.459999
19	267	2-Propanol	naproxen	O=C(O)[C@@H](C)c1cc2c(cc(OC)cc2)cc1	OC(C)C	31.75	155.8	5.1804409	0.71436673	17.202442	1.2355901	14	0	3	18	3	3	1	2	46.529999	3	0	1	3	0	1	1	0	20.23
23	267	Acetone	naproxen	O=C(O)[C@@H](C)c1cc2c(cc(OC)cc2)cc1	O=C(C)C	31.75	155.8	29.482555	1.4695652	70.041138	1.8453531	14	0	3	18	3	3	1	2	46.529999	3	0	1	3	0	1	0	0	17.07
37	267	Cyclohexane	naproxen	O=C(O)[C@@H](C)c1cc2c(cc(OC)cc2)cc1	C1CCCCC1	31.75	155.8	0.0328	-1.4847399	0.037900001	-1.4216435	14	0	3	18	3	3	1	2	46.529999	6	0	0	6	0	0	0	1	0.0
55	267	Ethanol	naproxen	O=C(O)[C@@H](C)c1cc2c(cc(OC)cc2)cc1	OCC	31.75	155.85001	7.6114702	0.88146853	19.056337	1.2800394	14	0	3	18	3	3	1	2	46.529999	2	0	1	2	0	1	1	0	20.23
57	267	Ethyl Acetate	naproxen	O=C(O)[C@@H](C)c1cc2c(cc(OC)cc2)cc1	O=C(OCC)C	31.75	155.8	6.9763799	0.84363014	38.869312	1.5896069	14	0	3	18	3	3	1	2	46.529999	4	0	2	5	2	2	0	0	26.299999
66	267	Heptane	naproxen	O=C(O)[C@@H](C)c1cc2c(cc(OC)cc2)cc1	C(CCC)CCC	31.75	155.8	0.00689	-2.1617808	0.030400001	-1.5164802	14	0	3	18	3	3	1	2	46.529999	7	0	0	6	4	0	0	0	0.0
109	267	Water	naproxen	O=C(O)[C@@H](C)c1cc2c(cc(OC)cc2)cc1	O	31.75	155.85001	0.0007	-3.154902	0.00154	-2.8136032	14	0	3	18	3	3	1	2	46.529999	0	0	1	0	0	1	2	0	0.0
3	267	1,2-Dichloroethane	naproxen	O=C(O)[C@@H](C)c1cc2c(cc(OC)cc2)cc1	ClCCCl	31.75	155.8	3.1347458	0.49620232	1.8155577	0.25901005	14	0	3	18	3	3	1	2	46.529999	2	0	0	3	1	0	0	0	0.0
8	267	1,4-Dioxane	naproxen	O=C(O)[C@@H](C)c1cc2c(cc(OC)cc2)cc1	O1CCOCC1	31.75	155.8	30.334797	1.4819411	37.25819	1.5712217	14	0	3	18	3	3	1	2	46.529999	4	0	2	6	0	2	0	1	18.459999
