solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	solute_a_nC	solute_a_nN	solute_a_nO	solute_b_heavy	solute_b_rotN	solute_lip_acc	solute_lip_don	solute_rings	solute_TPSA	solvent_a_nC	solvent_a_nN	solvent_a_nO	solvent_b_heavy	solvent_b_rotN	solvent_lip_acc	solvent_lip_don	solvent_rings	solvent_TPSA
5	176	1,2-Propanediol	paracetamol	O=C(Nc1ccc(O)cc1)C	OC(CO)C	28.1	168.60001	25.826128	1.4120593	13.541234	1.1316582	8	1	2	11	2	3	2	1	49.330002	3	0	2	4	1	2	2	0	40.459999
10	176	1-Propanol	paracetamol	O=C(Nc1ccc(O)cc1)C	OCCC	28.1	168.60001	11.932	1.0767132	11.159766	1.0476551	8	1	2	11	2	3	2	1	49.330002	3	0	1	3	1	1	1	0	20.23
19	176	2-Propanol	paracetamol	O=C(Nc1ccc(O)cc1)C	OC(C)C	28.1	168.60001	12.115	1.0833234	6.5673256	0.81738853	8	1	2	11	2	3	2	1	49.330002	3	0	1	3	0	1	1	0	20.23
23	176	Acetone	paracetamol	O=C(Nc1ccc(O)cc1)C	O=C(C)C	28.1	168.60001	9.9379997	0.99729902	25.179403	1.4010454	8	1	2	11	2	3	2	1	49.330002	3	0	1	3	0	1	0	0	17.07
37	176	Cyclohexane	paracetamol	O=C(Nc1ccc(O)cc1)C	C1CCCCC1	28.1	168.60001	0.0054	-2.2675467	8.9e-05	-4.0506101	8	1	2	11	2	3	2	1	49.330002	6	0	0	6	0	0	0	1	0.0
55	176	Ethanol	paracetamol	O=C(Nc1ccc(O)cc1)C	OCC	28.1	168.60001	20.990999	1.3220332	16.890682	1.2276472	8	1	2	11	2	3	2	1	49.330002	2	0	1	2	0	1	1	0	20.23
57	176	Ethyl Acetate	paracetamol	O=C(Nc1ccc(O)cc1)C	O=C(OCC)C	28.1	168.60001	0.94499999	-0.024568191	10.941773	1.0390877	8	1	2	11	2	3	2	1	49.330002	4	0	2	5	2	2	0	0	26.299999
67	176	Hexane	paracetamol	O=C(Nc1ccc(O)cc1)C	C(CCC)CC	28.1	168.60001	0.000719	-3.1431563	8.9e-05	-4.0506101	8	1	2	11	2	3	2	1	49.330002	6	0	0	5	3	0	0	0	0.0
109	176	Water	paracetamol	O=C(Nc1ccc(O)cc1)C	O	28.1	168.60001	1.49	0.17318627	0.98371571	-0.007130397	8	1	2	11	2	3	2	1	49.330002	0	0	1	0	0	1	2	0	0.0
8	176	1,4-Dioxane	paracetamol	O=C(Nc1ccc(O)cc1)C	O1CCOCC1	28.1	168.60001	5.561965	0.74522823	6.3168201	0.80049855	8	1	2	11	2	3	2	1	49.330002	4	0	2	6	0	2	0	1	18.459999
9	176	1-Butanol	paracetamol	O=C(Nc1ccc(O)cc1)C	OCCCC	28.1	168.60001	8.3269997	0.92048854	7.9183769	0.89863616	8	1	2	11	2	3	2	1	49.330002	4	0	1	4	2	1	1	0	20.23
24	176	Acetonitrile	paracetamol	O=C(Nc1ccc(O)cc1)C	N#CC	28.1	168.60001	2.7539999	0.43996394	6.882246	0.83773023	8	1	2	11	2	3	2	1	49.330002	2	1	0	2	0	1	0	0	23.790001
26	176	Benzene	paracetamol	O=C(Nc1ccc(O)cc1)C	c1ccccc1	28.1	168.60001	0.021299999	-1.6718323	0.0111	-1.9553728	8	1	2	11	2	3	2	1	49.330002	6	0	0	6	0	0	0	1	0.0
34	176	Chloroform	paracetamol	O=C(Nc1ccc(O)cc1)C	ClC(Cl)Cl	28.1	168.60001	0.0405	-1.3921899	0.0149	-1.8277121	8	1	2	11	2	3	2	1	49.330002	1	0	0	3	0	0	0	0	0.0
64	176	Formamide	paracetamol	O=C(Nc1ccc(O)cc1)C	O=CN	28.1	168.60001	63.674511	1.8039656	11.445467	1.0586336	8	1	2	11	2	3	2	1	49.330002	1	1	1	2	0	2	2	0	43.09
72	176	Methanol	paracetamol	O=C(Nc1ccc(O)cc1)C	OC	28.1	168.60001	33.210999	1.521282	42.772804	1.6311678	8	1	2	11	2	3	2	1	49.330002	1	0	1	1	0	1	1	0	20.23
90	176	Propionic Acid	paracetamol	O=C(Nc1ccc(O)cc1)C	O=C(O)CC	28.1	168.60001	2.2925451	0.36031786	5.868329	0.76851445	8	1	2	11	2	3	2	1	49.330002	3	0	2	4	1	2	1	0	37.299999
101	176	Tetrahydrofuran	paracetamol	O=C(Nc1ccc(O)cc1)C	O1CCCC1	28.1	168.60001	0.037	-1.4317982	31.415312	1.4971414	8	1	2	11	2	3	2	1	49.330002	4	0	1	5	0	1	0	1	9.2299995
110	176	1-Pentanol	paracetamol	O=C(Nc1ccc(O)cc1)C	OCCCCC	28.1	168.60001	11.932	1.0767132	5.1807108	0.71438932	8	1	2	11	2	3	2	1	49.330002	5	0	1	5	3	1	1	0	20.23
127	176	1-Octanol	paracetamol	O=C(Nc1ccc(O)cc1)C	OCCCCCCCC	28.1	168.60001	2.939672	0.46829885	1.8364689	0.26398361	8	1	2	11	2	3	2	1	49.330002	8	0	1	8	6	1	1	0	20.23
25	176	Anisole	paracetamol	O=C(Nc1ccc(O)cc1)C	O(C)c1ccccc1	28.1	168.60001	0.050000001	-1.30103	0.024900001	-1.6037099	8	1	2	11	2	3	2	1	49.330002	7	0	1	8	1	1	0	1	9.2299995
68	176	3-Methyl-1-Butanol	paracetamol	O=C(Nc1ccc(O)cc1)C	OCCC(C)C	28.1	168.60001	5.4871998	0.7393508	5.3331747	0.72698581	8	1	2	11	2	3	2	1	49.330002	5	0	1	5	2	1	1	0	20.23
70	176	Isopropyl Acetate	paracetamol	O=C(Nc1ccc(O)cc1)C	O=C(OC(C)C)C	28.1	168.60001	0.75	-0.12493873	3.1409609	0.49706253	8	1	2	11	2	3	2	1	49.330002	5	0	2	6	2	2	0	0	26.299999
78	176	Methyl Isobutyl Ketone	paracetamol	O=C(Nc1ccc(O)cc1)C	O=C(CC(C)C)C	28.1	168.60001	1.66	0.22010809	3.881568	0.5890072	8	1	2	11	2	3	2	1	49.330002	6	0	1	6	2	1	0	0	17.07
