solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	solute_a_nC	solute_a_nN	solute_a_nO	solute_b_heavy	solute_b_rotN	solute_lip_acc	solute_lip_don	solute_rings	solute_TPSA	solvent_a_nC	solvent_a_nN	solvent_a_nO	solvent_b_heavy	solvent_b_rotN	solvent_lip_acc	solvent_lip_don	solvent_rings	solvent_TPSA
5	286	1,2-Propanediol	salicylic acid	O=C(O)c1c(O)cccc1	OC(CO)C	23.200001	158.85001	23.264303	1.36669	49.639786	1.6958299	7	0	3	10	1	3	2	1	57.529999	3	0	2	4	1	2	2	0	40.459999
19	286	2-Propanol	salicylic acid	O=C(O)c1c(O)cccc1	OC(C)C	23.200001	158.8	50.076584	1.6996347	67.169098	1.8271695	7	0	3	10	1	3	2	1	57.529999	3	0	1	3	0	1	1	0	20.23
37	286	Cyclohexane	salicylic acid	O=C(O)c1c(O)cccc1	C1CCCCC1	23.200001	158.8	0.12691984	-0.89647049	0.10905179	-0.96236718	7	0	3	10	1	3	2	1	57.529999	6	0	0	6	0	0	0	1	0.0
55	286	Ethanol	salicylic acid	O=C(O)c1c(O)cccc1	OCC	23.200001	158.8	50.846058	1.7062572	75.284401	1.8767051	7	0	3	10	1	3	2	1	57.529999	2	0	1	2	0	1	1	0	20.23
66	286	Heptane	salicylic acid	O=C(O)c1c(O)cccc1	C(CCC)CCC	23.200001	158.85001	0.15400396	-0.81246811	0.10930234	-0.96137053	7	0	3	10	1	3	2	1	57.529999	7	0	0	6	4	0	0	0	0.0
67	286	Hexane	salicylic acid	O=C(O)c1c(O)cccc1	C(CCC)CC	23.200001	158.8	0.078699999	-1.1038295	0.10973428	-0.95965767	7	0	3	10	1	3	2	1	57.529999	6	0	0	5	3	0	0	0	0.0
3	286	1,2-Dichloroethane	salicylic acid	O=C(O)c1c(O)cccc1	ClCCCl	23.200001	158.8	1.0663027	0.027880501	1.6715887	0.22312942	7	0	3	10	1	3	2	1	57.529999	2	0	0	3	1	0	0	0	0.0
9	286	1-Butanol	salicylic acid	O=C(O)c1c(O)cccc1	OCCCC	23.200001	158.8	36.715504	1.5648495	47.061287	1.6726638	7	0	3	10	1	3	2	1	57.529999	4	0	1	4	2	1	1	0	20.23
12	286	2-Butanol	salicylic acid	O=C(O)c1c(O)cccc1	OC(CC)C	23.200001	158.8	42.833096	1.6317794	61.409092	1.7882327	7	0	3	10	1	3	2	1	57.529999	4	0	1	4	1	1	1	0	20.23
24	286	Acetonitrile	salicylic acid	O=C(O)c1c(O)cccc1	N#CC	23.200001	158.85001	10.205654	1.0088408	41.931183	1.6225371	7	0	3	10	1	3	2	1	57.529999	2	1	0	2	0	1	0	0	23.790001
26	286	Benzene	salicylic acid	O=C(O)c1c(O)cccc1	c1ccccc1	23.200001	158.85001	0.96911651	-0.013623999	1.6530938	0.2182975	7	0	3	10	1	3	2	1	57.529999	6	0	0	6	0	0	0	1	0.0
29	286	Butyl Acetate	salicylic acid	O=C(O)c1c(O)cccc1	O=C(OCCCC)C	23.200001	158.8	18.764704	1.2733417	39.5961	1.5976524	7	0	3	10	1	3	2	1	57.529999	6	0	2	7	4	2	0	0	26.299999
31	286	Carbon Tetrachloride	salicylic acid	O=C(O)c1c(O)cccc1	ClC(Cl)(Cl)Cl	23.200001	158.8	0.29989669	-0.52302831	0.16502488	-0.78245056	7	0	3	10	1	3	2	1	57.529999	1	0	0	4	0	0	0	0	0.0
33	286	Chlorobenzene	salicylic acid	O=C(O)c1c(O)cccc1	Clc1ccccc1	23.200001	158.85001	0.82741714	-0.082275502	0.60167646	-0.22063696	7	0	3	10	1	3	2	1	57.529999	6	0	0	7	0	0	0	1	0.0
34	286	Chloroform	salicylic acid	O=C(O)c1c(O)cccc1	ClC(Cl)Cl	23.200001	158.85001	0.16887988	-0.77242208	1.3536006	0.13149056	7	0	3	10	1	3	2	1	57.529999	1	0	0	3	0	0	0	0	0.0
46	286	Diethylether	salicylic acid	O=C(O)c1c(O)cccc1	O(CC)CC	23.200001	158.8	33.435654	1.5242099	71.322754	1.8532281	7	0	3	10	1	3	2	1	57.529999	4	0	1	4	2	1	0	0	9.2299995
62	286	Ethylene Glycol	salicylic acid	O=C(O)c1c(O)cccc1	OCCO	23.200001	158.85001	20.697323	1.3159142	26.581678	1.4245824	7	0	3	10	1	3	2	1	57.529999	2	0	2	3	1	2	2	0	40.459999
64	286	Formamide	salicylic acid	O=C(O)c1c(O)cccc1	O=CN	23.200001	158.85001	13.657759	1.1353794	33.177654	1.5208457	7	0	3	10	1	3	2	1	57.529999	1	1	1	2	0	2	2	0	43.09
72	286	Methanol	salicylic acid	O=C(O)c1c(O)cccc1	OC	23.200001	158.85001	63.286705	1.8013124	87.039696	1.9397174	7	0	3	10	1	3	2	1	57.529999	1	0	1	1	0	1	1	0	20.23
90	286	Propionic Acid	salicylic acid	O=C(O)c1c(O)cccc1	O=C(O)CC	23.200001	158.85001	13.205063	1.1207404	12.050364	1.0810002	7	0	3	10	1	3	2	1	57.529999	3	0	2	4	1	2	1	0	37.299999
110	286	1-Pentanol	salicylic acid	O=C(O)c1c(O)cccc1	OCCCCC	23.200001	158.8	28.685503	1.4576625	38.570259	1.5862526	7	0	3	10	1	3	2	1	57.529999	5	0	1	5	3	1	1	0	20.23
111	286	2-Methyl-1-Propanol	salicylic acid	O=C(O)c1c(O)cccc1	OCC(C)C	23.200001	158.8	31.093479	1.4926693	43.028732	1.6337585	7	0	3	10	1	3	2	1	57.529999	4	0	1	4	1	1	1	0	20.23
127	286	1-Octanol	salicylic acid	O=C(O)c1c(O)cccc1	OCCCCCCCC	23.200001	158.8	24.23502	1.3844434	24.578445	1.3905544	7	0	3	10	1	3	2	1	57.529999	8	0	1	8	6	1	1	0	20.23
643	286	acetophenone	salicylic acid	O=C(O)c1c(O)cccc1	O=C(C)c1ccccc1	23.200001	158.8	20.72459	1.316486	50.113598	1.6999556	7	0	3	10	1	3	2	1	57.529999	8	0	1	9	1	1	0	1	17.07
58	286	Ethyl Formate	salicylic acid	O=C(O)c1c(O)cccc1	O=COCC	23.200001	158.85001	1.4244398	0.15364408	48.158184	1.6826701	7	0	3	10	1	3	2	1	57.529999	3	0	2	4	2	2	0	0	26.299999
